,function,language,stars_mean,watchers_mean,forks_mean
11,image-resizer-service,JavaScript,64,0,32
157,inbound-ses-spam-filter,JavaScript,42,7,23
251,inbound-ses-spam-filter-python,JavaScript,42,7,23
169,inspector-scheduled-run,JavaScript,42,7,23
249,json-logs-to-kinesis-firehose,Python,0,1,1
392,kim-demo,JavaScript,1,2,2
439,kim-demo2,JavaScript,1,2,2
231,kinesis-analytics-process-compressed-record,JavaScript,42,7,23
248,kinesis-analytics-process-kpl-record,JavaScript,42,7,23
194,kinesis-analytics-process-record,JavaScript,42,7,23
156,kinesis-analytics-process-record-python,JavaScript,42,7,23
332,kinesis-data-firehose-to-s3,Makefile,1,1,0
185,kinesis-firehose-apachelog-to-csv,JavaScript,42,7,23
315,kinesis-firehose-apachelog-to-csv-python,JavaScript,42,7,23
101,kinesis-firehose-apachelog-to-json,JavaScript,42,7,22
167,kinesis-firehose-apachelog-to-json-python,JavaScript,42,7,23
163,kinesis-firehose-cloudwatch-logs-processor,JavaScript,42,7,23
261,kinesis-firehose-process-record,JavaScript,42,7,23
276,kinesis-firehose-process-record-python,JavaScript,42,7,23
128,kinesis-firehose-process-record-streams-as-source,JavaScript,42,7,22
360,kinesis-firehose-process-record-streams-as-source-python,JavaScript,42,7,23
284,kinesis-firehose-syslog-to-csv,JavaScript,42,7,23
330,kinesis-firehose-syslog-to-csv-python,JavaScript,42,7,23
331,kinesis-firehose-syslog-to-json,JavaScript,42,7,23
268,kinesis-firehose-syslog-to-json-python,JavaScript,42,7,23
139,kinesis-process-record,JavaScript,42,7,22
155,kinesis-process-record-python,JavaScript,42,7,23
364,lambci,Shell,3768,96,220
70,lambda-authorizer-basic-auth,Python,29,1,3
178,lambda-canary,JavaScript,42,7,23
110,lambda-canary-python3,JavaScript,42,7,22
362,lambda-create-email-template-ses,JavaScript,2,2,0
310,lambda-customresource-testing,None,0,0,0
440,lambda-edge-header-adder-python,Python,0,1,0
429,lambda-edge-logs-aggregator,Shell,2,1,0
100,lambda-iot-rule,JavaScript,0,1,1
62,lambda-janitor,JavaScript,22,4,8
43,lambda-layer-awscli,Makefile,50,3,15
172,lambda-layer-headless-chromium,Makefile,34,1,5
64,lambda-layer-kubectl,Makefile,61,5,26
464,lambda-layer-mecab-python3,Dockerfile,0,1,0
386,lambda-logs-athena-example,Python,0,1,0
462,lambda-logs-event-source,JavaScript,0,4,0
393,lambda-s3-zip,JavaScript,0,1,0
363,lambda-slack-handler,JavaScript,0,2,1
203,lambda-test-harness,JavaScript,42,7,23
234,lambda-to-chime,Python,0,1,0
28,lambda-to-slack,Python,5,1,5
316,lambda-versions-deleter,Python,0,1,0
91,lambda-web-page-example,JavaScript,4,0,6
103,lambdium,JavaScript,213,12,31
380,lending-app-nodejs6,JavaScript,0,0,0
108,lex-book-trip,JavaScript,42,7,22
166,lex-book-trip-python,JavaScript,42,7,23
147,lex-make-appointment,JavaScript,42,7,23
183,lex-make-appointment-python,JavaScript,42,7,23
127,lex-order-flowers,JavaScript,42,7,22
204,lex-order-flowers-python,JavaScript,42,7,23
72,lightsail-backups,JavaScript,44,8,19
307,logicmonitor-send-cloudwatch-events,Python,2,18,0
486,logicmonitor-send-eventbridge-events,JavaScript,42,7,23
458,logs-insights-to-metric,None,0,1,0
125,machine-learning-with-scikit-learn-on-lamdba,Python,11,0,4
264,mechanicalrock-ops-metrics,TypeScript,2,1,0
313,mechanicalrock-pipeline-dashboard,JavaScript,1,0,0
487,meta-codepipeline,Shell,0,1,1
262,metric-publisher-app,Python,5,11,7
5,microservice-http-endpoint,JavaScript,42,7,22
46,microservice-http-endpoint-python,JavaScript,42,7,22
49,microservice-http-endpoint-python3,JavaScript,42,7,22
344,monte-carlo-pi,Python,0,1,0
200,my-ip-today,TypeScript,4,1,2
333,nephridium,JavaScript,2,0,0
242,node-exec,JavaScript,42,7,23
283,owlhub-lambda-version-cleaner,Python,1,2,0
186,pandoc-lambda-layer,JavaScript,29,1,11
340,phone-home,JavaScript,0,1,0
255,photo-gallery,TypeScript,1,1,0
104,pipeline-dashboard,JavaScript,88,8,33
201,plantuml-render,HTML,22,5,4
383,platform-authorizer,JavaScript,3,4,1
319,platform-client-secret-rotator,Python,1,5,0
260,portable-serverless-app,JavaScript,12,4,3
345,pushilka-cloudfront-headers,JavaScript,0,1,2
224,python-lambdacore,Python,7,1,1
220,python-sam-codebuild-ci,None,3,2,1
269,realtime-chatapp,None,2,0,1
209,realworld-serverless-application,Java,309,27,46
210,realworld-serverless-application-analytics,Java,309,27,46
197,realworld-serverless-application-backend,Java,309,27,46
198,realworld-serverless-application-backend-api,Java,309,27,46
187,realworld-serverless-application-backend-database,Java,309,27,46
214,realworld-serverless-application-ops,Java,309,27,46
213,realworld-serverless-application-ops-alarm,Java,309,27,46
212,realworld-serverless-application-ops-dashboard,Java,309,27,46
211,realworld-serverless-application-static-website,Java,309,27,46
79,rekognition-python,JavaScript,42,7,22
296,rekognition-sqs,Python,8,0,5
152,requests-python-layer-app,Shell,1,1,0
53,resize,JavaScript,90,8,40
266,retweet-leaderboard,Java,10,2,1
327,rev11-attiotbutton-SQL,None,0,2,0
366,rev11-attiotbutton-filemakerapi,None,0,2,0
137,rotate,JavaScript,90,8,40
170,rsvg-convert-lambda-layer,JavaScript,27,1,11
