function,stars,watchers,forks,language
sumologic-guardduty-benchmark,98.0,47.0,107.0,Python
lambda-layer-headless-chromium,34.0,1.0,5.0,Makefile
cloudfront-s3-origin-website-redirects,1.0,0.0,2.0,JavaScript
datadog-process-rds-metrics,42.0,7.0,23.0,JavaScript
auto-set-log-group-retention,30.0,2.0,4.0,JavaScript
TweetEventSource,2.0,2.0,2.0,TypeScript
AthenaCloudwatchMetricsConnector,89.0,21.0,17.0,Java
lambda-canary,42.0,7.0,23.0,JavaScript
cloudfront-ab-test,42.0,7.0,23.0,JavaScript
ecr-deploy,8.0,1.0,3.0,Python
Alexa-Nodejs-Dynamic-Content,0.0,1.0,2.0,JavaScript
serverless-numpy,3.0,1.0,1.0,Python
lex-make-appointment-python,42.0,7.0,23.0,JavaScript
cloudwatch-loggly-forwarder,10.0,12.0,0.0,Ruby
kinesis-firehose-apachelog-to-csv,42.0,7.0,23.0,JavaScript
pandoc-lambda-layer,29.0,1.0,11.0,JavaScript
realworld-serverless-application-backend-database,309.0,27.0,46.0,Java
async-custom-metrics,17.0,1.0,0.0,JavaScript
alexa-city-biking-skill,2.0,1.0,2.0,JavaScript
cloudwatch-logs-to-loggly,42.0,7.0,23.0,JavaScript
slack-slash-hodor,1.0,1.0,1.0,JavaScript
aws-dynamodb-stream-eventbridge-fanout,18.0,9.0,3.0,Java
getting-started-with-dynamodb-reviews-inserter,0.0,2.0,1.0,Python
kinesis-analytics-process-record,42.0,7.0,23.0,JavaScript
aws-serverless-sns-forwarder,6.0,10.0,4.0,Python
s3-lambda-csv-to-xlsx-s3,6.0,2.0,3.0,JavaScript
realworld-serverless-application-backend,309.0,27.0,46.0,Java
realworld-serverless-application-backend-api,309.0,27.0,46.0,Java
api-gateway-multiple-origin-cors,6682.0,333.0,1699.0,Python
my-ip-today,4.0,1.0,2.0,TypeScript
plantuml-render,22.0,5.0,4.0,HTML
sns-lambda-put-cloudwatch,1.0,1.0,0.0,JavaScript
lambda-test-harness,42.0,7.0,23.0,JavaScript
lex-order-flowers-python,42.0,7.0,23.0,JavaScript
alexa-skill-clean-code-template,9.0,0.0,2.0,JavaScript
EventWriter,4.0,2.0,0.0,JavaScript
aws-private-ca-policy-venafi,3.0,8.0,2.0,Go
ServerlessNetworkingPython3,64.0,7.0,2.0,C++
realworld-serverless-application,309.0,27.0,46.0,Java
realworld-serverless-application-analytics,309.0,27.0,46.0,Java
realworld-serverless-application-static-website,309.0,27.0,46.0,Java
realworld-serverless-application-ops-dashboard,309.0,27.0,46.0,Java
realworld-serverless-application-ops-alarm,309.0,27.0,46.0,Java
realworld-serverless-application-ops,309.0,27.0,46.0,Java
aurora-api,0.0,1.0,0.0,JavaScript
acme-cert-updater,4.0,2.0,0.0,Python
algorithmia,42.0,7.0,23.0,JavaScript
Glim,1.0,1.0,0.0,Python
AthenaAwsCmdbConnector,89.0,21.0,17.0,Java
python-sam-codebuild-ci,3.0,2.0,1.0,None
Load-testing,853.0,43.0,160.0,Python
appsync-broadcaster,12.0,1.0,2.0,JavaScript
aws-health-event-to-slack-message,5.0,1.0,1.0,Python
python-lambdacore,7.0,1.0,1.0,Python
cw-logs-to-chime,0.0,1.0,0.0,Python
hotdog-detector,91.0,38.0,25.0,Python
cfn-look-up-ami-ids,42.0,7.0,23.0,JavaScript
sumologic-securityhub-forwarder,98.0,47.0,107.0,Python
deno,147.0,8.0,2.0,TypeScript
Kinesis-Enhanced-Fan-Out-to-DDB-S3,1.0,0.0,3.0,JavaScript
kinesis-analytics-process-compressed-record,42.0,7.0,23.0,JavaScript
LogzioCloudWatchShipper,27.0,10.0,33.0,Python
sepia,90.0,8.0,40.0,JavaScript
lambda-to-chime,0.0,1.0,0.0,Python
Salesforce-API-Access-Manager-Monitor-Logger,2.0,2.0,1.0,JavaScript
cfn-stack-outputs,42.0,7.0,23.0,JavaScript
cloudfront-simple-remote-call,42.0,7.0,23.0,JavaScript
cloudfront-modify-querystring,42.0,7.0,23.0,JavaScript
s3-lambda-transcribe-audio-to-text-s3,62.0,2.0,0.0,JavaScript
crop,90.0,8.0,40.0,JavaScript
node-exec,42.0,7.0,23.0,JavaScript
ServerlessEventTestTarget,1.0,1.0,0.0,JavaScript
s3-cost-explorer,1.0,1.0,0.0,Python
Automated-Support-Ticket-Moderator,2.0,1.0,0.0,JavaScript
alexa-super-heroes,0.0,1.0,0.0,Python
aws-sns-to-slack-publisher,18.0,1.0,7.0,Python
kinesis-analytics-process-kpl-record,42.0,7.0,23.0,JavaScript
json-logs-to-kinesis-firehose,0.0,1.0,1.0,Python
cloudfront-access-request-in-response,42.0,7.0,23.0,JavaScript
inbound-ses-spam-filter-python,42.0,7.0,23.0,JavaScript
aws-internal-healthcheck,4.0,1.0,2.0,JavaScript
sumologic-app-utils,98.0,47.0,107.0,Python
s3-lambda-csv-to-pdf-s3,0.0,1.0,0.0,JavaScript
photo-gallery,1.0,1.0,0.0,TypeScript
ALB-Lambda-Target-BinaryResponse,211.0,22.0,67.0,Java
EtsyShopEventSource,2.0,1.0,0.0,TypeScript
s3-lambda-image-text-detection-dynamodb,3.0,1.0,3.0,TypeScript
AthenaRedisConnector,89.0,21.0,17.0,Java
portable-serverless-app,12.0,4.0,3.0,JavaScript
kinesis-firehose-process-record,42.0,7.0,23.0,JavaScript
metric-publisher-app,5.0,11.0,7.0,Python
Return-Set-Word-Python3,0.0,0.0,1.0,Python
mechanicalrock-ops-metrics,2.0,1.0,0.0,TypeScript
exif-metadata-extractor,4.0,1.0,1.0,Python
retweet-leaderboard,10.0,2.0,1.0,Java
aws-serverless-financial-functions-xirr,38.0,19.0,8.0,Python
kinesis-firehose-syslog-to-json-python,42.0,7.0,23.0,JavaScript
realtime-chatapp,2.0,0.0,1.0,None
eks-lambda-drainer,0.0,0.0,0.0,None
AthenaDocumentDBConnector,89.0,21.0,17.0,Java
aws-serverless-financial-functions-wrapper,38.0,19.0,8.0,Python
aws-support-bot,0.0,0.0,1.0,Python
Packer-Cleaner,3.0,1.0,1.0,Python
Cloudwatch-event-serverless-monitor-and-get-alerted-on-aws-account-activity,0.0,0.0,2.0,Python
kinesis-firehose-process-record-python,42.0,7.0,23.0,JavaScript
amazon-cognito-passwordless-facial-rekognition-auth,13.0,4.0,4.0,JavaScript
LightGBM,853.0,43.0,160.0,Python
blur,90.0,8.0,40.0,JavaScript
Spacy,853.0,43.0,160.0,Python
s3-lambda-ffmpeg-mov-to-mp4-s3,6.0,1.0,5.0,JavaScript
twitter-to-slack-message,0.0,1.0,0.0,Python
owlhub-lambda-version-cleaner,1.0,2.0,0.0,Python
kinesis-firehose-syslog-to-csv,42.0,7.0,23.0,JavaScript
human-trafficking-facts,0.0,0.0,0.0,JavaScript
s3-lambda-markdown-to-html-s3,2.0,1.0,1.0,JavaScript
amazon-elasticsearch-service-with-cognito,11.0,4.0,2.0,TypeScript
dazn-lambda-powertools,230.0,98.0,21.0,JavaScript
Voice-Lexicon-API,0.0,1.0,0.0,Python
AthenaHBaseConnector,89.0,21.0,17.0,Java
sfn-yaml-macro,12.0,1.0,2.0,Python
aws-serverless-financial-functions-pv,38.0,19.0,8.0,Python
aws-sqs-dlq-redriver,3.0,1.0,2.0,Python
api-websockets-push-notifications-dynamodb,2.0,1.0,1.0,JavaScript
LambdaEdgeRemoveTrailingSlash,2.0,1.0,1.0,JavaScript
rekognition-sqs,8.0,0.0,5.0,Python
acm-dns-record-manager,2.0,1.0,1.0,JavaScript
RecyclingLocationFinder,0.0,1.0,0.0,Python
alb-logs-firehose-publisher,5.0,1.0,0.0,Go
amazon-pinpoint-call-generator,6.0,2.0,4.0,JavaScript
aws-serverless-financial-functions-fv,38.0,19.0,8.0,Python
aws-sam-codepipeline-cd,24.0,11.0,12.0,None
signed-url-generator,1.0,1.0,0.0,Python
AthenaUserDefinedFunctions,89.0,21.0,17.0,Java
codepipeline-s3-deploy,0.0,1.0,0.0,JavaScript
GenerateLookML,0.0,64.0,1.0,Python
logicmonitor-send-cloudwatch-events,2.0,18.0,0.0,Python
dynamodb-history-storer,9.0,2.0,1.0,JavaScript
serverless-search,104.0,4.0,10.0,JavaScript
lambda-customresource-testing,0.0,0.0,0.0,None
AthenaTPCDSConnector,89.0,21.0,17.0,Java
ApplicationCostMonitoring,11.0,3.0,1.0,Python
mechanicalrock-pipeline-dashboard,1.0,0.0,0.0,JavaScript
sns2telegram,6.0,1.0,0.0,Go
kinesis-firehose-apachelog-to-csv-python,42.0,7.0,23.0,JavaScript
lambda-versions-deleter,0.0,1.0,0.0,Python
EnergyProductFinder,1.0,1.0,0.0,Python
cloudfront-multiple-remote-calls-aggregate-response,42.0,7.0,23.0,JavaScript
platform-client-secret-rotator,1.0,5.0,0.0,Python
autodeploy-layer,8.0,1.0,1.0,JavaScript
s3-pgp-encryptor,3.0,1.0,5.0,JavaScript
aws-sam-codebuild-ci,15.0,11.0,6.0,None
cfn-news-to-telegram,1.0,1.0,0.0,HTML
workmail-wordpress-python,7.0,3.0,5.0,Python
